city,tcac_code,sipsa_name,exito_name
Bucaramanga,N/A,Arroz sopa cristal,Arroz sopa cristal
Bucaramanga,N/A,Arveja amarilla seca importada,Arveja amarilla seca importada
Bucaramanga,N/A,Arveja verde en vaina,Arveja verde en vaina
Bucaramanga,T003,Arveja verde seca importada,Arveja
Bucaramanga,A012,Avena en hojuelas,Avena en hojuelas
Bucaramanga,N/A,Azúcar refinada,Azúcar refinada
Bucaramanga,K003,Azúcar sulfitada,Azúcar sulfitada
Bucaramanga,N/A,Bagre rayado entero fresco,Bagre rayado entero fresco
Bucaramanga,C010,Banano criollo,Banano criollo
Bucaramanga,N/A,Banano Urabá,Banano Urabá
Bucaramanga,E007,"Basa, entero congelado importado",Basa
Bucaramanga,N/A,Borojó,Borojó
Bucaramanga,B025,Brócoli,Brócoli
Bucaramanga,N/A,Cachama de cultivo fresca,Cachama de cultivo fresca
Bucaramanga,L006,Café molido,Café molido
Bucaramanga,N/A,Calabacín,Calabacín
Bucaramanga,N/A,"Carne de res, bota",Res bota
Bucaramanga,F100,"Carne de res, cadera",Cadera res
Bucaramanga,N/A,"Carne de res, centro de pierna",Res pierna
Bucaramanga,F099,"Carne de res, chatas",Chatas res
Bucaramanga,F107,"Carne de res, costilla",Costilla res
Bucaramanga,N/A,"Carne de res, lomo fino",Res lomo
Bucaramanga,F118,"Carne de res, muchacho",Muchacho res
Bucaramanga,N/A,"Carne de res, murillo",Res murillo
Bucaramanga,F100,"Carne de res, pecho",Pechho res
Bucaramanga,F100,"Carne de res, punta de anca",Punta de anca res
Bucaramanga,F098,"Carne de res, sobrebarriga",Sobrebarriga res
Bucaramanga,N/A,Cebolla cabezona blanca,Cebolla cabezona blanca
Bucaramanga,B027,Cebolla cabezona roja importada,Cebolla cabezona roja importada
Bucaramanga,N/A,Cebolla cabezona roja ocañera,Cebolla cabezona roja
Bucaramanga,N/A,Cebolla junca,Cebolla junca
Bucaramanga,N/A,Chocolate dulce,Chocolate dulce
Bucaramanga,A053,Chócolo mazorca,Chócolo mazorca
Bucaramanga,N/A,Cilantro,Cilantro
Bucaramanga,N/A,Ciruela roja,Ciruela roja
Bucaramanga,B039,Coliflor,Coliflor
Bucaramanga,N/A,Cuchuco de cebada,Cuchuco de cebada
Bucaramanga,A044,Cuchuco de maíz,Cuchuco de maíz
Bucaramanga,C021,Curuba,Curuba
Bucaramanga,N/A,Durazno nacional,Durazno nacional
Bucaramanga,B044,Espinaca,Espinaca
Bucaramanga,N/A,Fécula de maíz,Fécula de maíz
Bucaramanga,C025,Fresa,Fresa
Bucaramanga,N/A,Fríjol radical,Fríjol radical
Bucaramanga,N/A,Fríjol verde en vaina,Fríjol verde
Bucaramanga,N/A,Galletas dulces redondas con crema,Galletas dulces redondas con crema
Bucaramanga,A027,Galletas saladas,Galletas saladas
Bucaramanga,N/A,Garbanzo importado,Garbanzo importado
Bucaramanga,K018,Gelatina,Gelatina
Bucaramanga,C028,Granadilla,Granadilla
Bucaramanga,C030,Guanábana,Guanábana
